iter	RMSE	MAE
83	0.4542775188	0.2466220814
84	0.4518695199	0.2451018221
85	0.4502803948	0.2440576837
86	0.4457168224	0.2421425377
87	0.4422866908	0.2404467235
88	0.4405538316	0.2392927194
89	0.4362216281	0.2374184006
90	0.4334572502	0.235877196
91	0.4314895621	0.2344572218
92	0.4297780588	0.2333626031
93	0.4262541493	0.2317766534
94	0.423723879	0.2305456952
95	0.421781434	0.2295037448
96	0.4198384222	0.2282693384
97	0.4169132379	0.2270227191
98	0.4151516468	0.2261218069
99	0.4126177521	0.2247987008
100	0.4102653918	0.2236545787
101	0.4069084521	0.222372444
102	0.4035182823	0.2210905059
103	0.4025178544	0.2203518971
104	0.3977804759	0.2186024678
105	0.3959198428	0.2175468185
106	0.3942854032	0.216608642
107	0.3915384519	0.2155609021
108	0.3900156325	0.2145142576
109	0.3890774722	0.2137269689
110	0.3877156406	0.2129327297
111	0.3861355164	0.2118993126
112	0.3833859687	0.2108426774
113	0.3812112234	0.2098123214
114	0.3791544317	0.2089138307
115	0.3774613234	0.2079820151
116	0.3750859358	0.206975935
117	0.3734577577	0.2061917364
118	0.370906115	0.205283481
119	0.3703381859	0.2046902597
120	0.3679028935	0.2035584825
121	0.366312214	0.2027198529
122	0.3646650202	0.2018896341
123	0.3630094243	0.2009621252
124	0.3625693395	0.2004930064
125	0.3590450892	0.1995000165
126	0.3582362148	0.1989065013
127	0.3576182483	0.1982984953
128	0.3560275577	0.1975882949
129	0.355535083	0.1971543651
130	0.3546328224	0.1965337083
131	0.3530024719	0.1957541394
132	0.3520409159	0.1951148301
133	0.3512102248	0.1944415924
134	0.3500015237	0.1938169833
135	0.3477869012	0.1930416995
136	0.3461027332	0.1922840156
137	0.3444453088	0.1915812634
138	0.3432176327	0.1908970735
139	0.3426740101	0.1904694962
140	0.3412387331	0.1899358396
141	0.3401684193	0.1893132454
142	0.3388727142	0.188619809
143	0.3378955882	0.1880757012
144	0.3367697012	0.1875648878
145	0.3356656187	0.1869882759
146	0.3351534324	0.186561557
147	0.3339076845	0.1860072431
148	0.3331187134	0.1854632315
149	0.3320923476	0.1848787397
150	0.331293889	0.1844886042
151	0.3303635727	0.1840296559
152	0.3300105585	0.1836108037
153	0.3291159897	0.1831218572
154	0.3288205958	0.1828273212
155	0.3275288881	0.182364464
156	0.3270522592	0.1819688963
157	0.3259658441	0.1815340365
158	0.3249279483	0.181116081
159	0.3233499325	0.1804744558
160	0.3221534013	0.1798986229
161	0.3212805245	0.1793478495
162	0.3207267936	0.1789852864
163	0.3203349904	0.1786320604
164	0.3187793114	0.1780927119
165	0.3180334847	0.1776486319
166	0.3170690141	0.1770742813
167	0.3161757897	0.176544173
168	0.3137419501	0.1758876026
169	0.3120256492	0.1754171473
170	0.3113648079	0.1749477109
171	0.3099435493	0.1743785181
172	0.3086494089	0.1738595258
173	0.3066082443	0.1732050501
174	0.3040251211	0.1725753183
175	0.3026223528	0.1721605944
176	0.3014663162	0.1717659234
177	0.3006053391	0.1713577132
178	0.2995142273	0.1708341919
179	0.2985592788	0.170430486
180	0.2974689206	0.1699815893
181	0.297103788	0.1696621201
182	0.2955161884	0.1691646709
183	0.2950308496	0.1688610092
184	0.2946295563	0.1685541037
185	0.2940952632	0.1682222714
186	0.2934793631	0.167944864
187	0.2928194647	0.1675532818
188	0.2924745738	0.1672139275
189	0.2918116942	0.1669470525
190	0.2903204952	0.1665706253
191	0.2901177107	0.1663346164
192	0.2892791781	0.1658924672
193	0.288099946	0.165432197
194	0.2876296963	0.1651758569
195	0.2863896778	0.1647426504
196	0.2860358085	0.1644933682
197	0.2849935712	0.1640724214
198	0.2838546242	0.1636600052
199	0.2835752092	0.163399743
